,x,y,z,Activity
92,5.7559795,-0.3632481,-4.7929683,WALKING
93,5.449151,-2.2875416,-5.310384,WALKING
94,5.811873,-1.8602864,-5.2650537,WALKING
95,4.9739494,-3.1842644,-5.958093,WALKING
96,4.288452,-4.0340996,-6.44202,WALKING
97,3.6534984,-4.8266745,-5.565075,WALKING
98,5.885137,-0.5504022,-4.790084,WALKING
99,6.3471212,0.033215545,-4.715466,WALKING
100,6.171672,-0.3603937,-4.807032,WALKING
101,8.35386,0.57975644,-7.0510793,WALKING
102,7.9582367,0.27054542,-6.9535513,WALKING
103,5.7097554,-2.4184232,-5.6424346,WALKING
104,5.4751015,-2.3909194,-5.428962,WALKING
105,5.2538576,-0.4895066,-4.883892,WALKING
106,5.6349287,-1.2446867,-5.051747,WALKING
107,5.9161177,-1.662099,-5.307204,WALKING
108,6.848976,-1.6832389,-6.3135304,WALKING
109,4.3453074,-4.0185184,-6.428627,WALKING
110,4.339729,-4.2335954,-6.25525,WALKING
111,5.789359,0.28693298,-4.437045,WALKING
112,6.8910136,0.05548446,-4.750827,WALKING
113,7.4201665,0.51521254,-5.0863233,WALKING
114,6.4799657,-0.3497507,-5.083578,WALKING
115,5.752217,-2.209594,-5.429397,WALKING
116,5.080118,-2.9868114,-5.6787105,WALKING
117,4.55123,-3.9724743,-6.16715,WALKING
118,3.533163,-4.9546514,-5.329413,WALKING
119,3.3575585,-5.1300764,-5.098058,WALKING
120,3.4210196,-5.0671506,-5.227434,WALKING
121,3.7860432,-4.5546007,-6.2252393,WALKING
122,4.2386103,-4.227826,-7.51139,WALKING
123,4.4291286,-4.1788507,-7.3346825,WALKING
124,3.5114002,-4.956964,-5.2854586,WALKING
125,13.630277,8.106683,-3.9111962,WALKING_DOWNSTAIRS
126,13.782033,7.857033,-4.5282264,WALKING_DOWNSTAIRS
127,11.759681,6.6725264,-3.9331675,WALKING_DOWNSTAIRS
128,8.443658,7.0579185,-6.204929,WALKING_DOWNSTAIRS
129,5.5522537,12.187311,-4.811712,WALKING_DOWNSTAIRS
130,5.6016016,12.390907,-5.3401537,WALKING_DOWNSTAIRS
131,7.2418866,11.387398,-3.7601995,WALKING_DOWNSTAIRS
132,7.4246163,10.791344,-3.6631489,WALKING_DOWNSTAIRS
133,9.536857,6.038958,-1.9108912,WALKING_DOWNSTAIRS
134,3.3368323,11.458405,-2.249784,WALKING_DOWNSTAIRS
135,3.3783708,11.363538,-2.3749156,WALKING_DOWNSTAIRS
136,6.9930615,14.376706,-4.2202883,WALKING_DOWNSTAIRS
137,3.8679917,10.06401,-2.3772097,WALKING_DOWNSTAIRS
138,3.5507925,11.163164,-2.3118098,WALKING_DOWNSTAIRS
139,6.2716374,12.195566,-4.0583925,WALKING_DOWNSTAIRS
140,4.607832,12.619859,-4.9926696,WALKING_DOWNSTAIRS
141,9.607911,17.942451,-5.9296093,WALKING_DOWNSTAIRS
142,11.556319,5.1930494,-5.3385773,WALKING_DOWNSTAIRS
143,9.490994,15.744161,-3.4646404,WALKING_DOWNSTAIRS
144,5.025798,5.567592,-8.389929,WALKING_DOWNSTAIRS
145,4.066428,7.455493,-1.9050072,WALKING_DOWNSTAIRS
146,3.8890448,7.5234046,-1.8684068,WALKING_DOWNSTAIRS
147,13.863896,7.890412,-4.6503525,WALKING_DOWNSTAIRS
148,10.83864,6.0621123,-3.8537107,WALKING_DOWNSTAIRS
149,9.22703,5.8739443,-1.8929384,WALKING_DOWNSTAIRS
150,12.340475,11.676054,11.68738,WALKING_UPSTAIRS
151,11.588201,10.809412,11.210295,WALKING_UPSTAIRS
152,11.101118,11.054178,11.2296715,WALKING_UPSTAIRS
153,11.113196,12.329502,11.485499,WALKING_UPSTAIRS
154,12.400589,12.95461,11.619434,WALKING_UPSTAIRS
155,14.119601,0.6758479,14.005841,WALKING_UPSTAIRS
156,11.512338,11.767845,11.663319,WALKING_UPSTAIRS
157,12.31017,13.151323,11.580815,WALKING_UPSTAIRS
158,10.764545,13.451407,11.2623005,WALKING_UPSTAIRS
159,10.992137,13.696017,11.224825,WALKING_UPSTAIRS
160,10.554302,11.242074,11.224992,WALKING_UPSTAIRS
161,9.453465,10.9698105,11.561267,WALKING_UPSTAIRS
162,10.691363,11.044034,11.4086485,WALKING_UPSTAIRS
163,8.517717,10.7483,11.689446,WALKING_UPSTAIRS
164,12.541397,11.934485,11.272981,WALKING_UPSTAIRS
165,12.564632,11.589694,10.947239,WALKING_UPSTAIRS
166,12.448432,11.789024,10.668645,WALKING_UPSTAIRS
167,12.164231,13.595769,11.840856,WALKING_UPSTAIRS
168,11.674991,13.878569,11.521458,WALKING_UPSTAIRS
169,9.148142,11.35199,11.749588,WALKING_UPSTAIRS
170,9.890615,11.95772,11.980375,WALKING_UPSTAIRS
171,11.450885,11.776227,11.321806,WALKING_UPSTAIRS
172,8.41129,10.720261,11.668416,WALKING_UPSTAIRS
173,9.53611,12.19282,12.034129,WALKING_UPSTAIRS
174,12.225537,13.903167,11.844961,WALKING_UPSTAIRS
175,7.423913,10.596162,11.276295,WALKING_UPSTAIRS
176,-3.8736053,-7.618945,13.618252,STANDING
177,8.272153,-15.236578,1.1489832,STANDING
178,8.151855,-15.203965,1.1868521,STANDING
179,0.97699577,-11.466455,5.7273064,STANDING
180,-2.4006982,-9.41059,8.982625,STANDING
181,8.036838,-14.95208,1.2081532,STANDING
182,8.499231,-16.042261,1.1454091,STANDING
183,5.5616493,-13.133964,2.2591603,STANDING
184,8.328318,-15.713343,1.1488578,STANDING
185,8.035564,-15.136636,1.2338145,STANDING
186,5.4370723,-13.041776,2.3205228,STANDING
187,5.141984,-12.848465,2.4669573,STANDING
188,4.687815,-12.590764,2.667427,STANDING
189,8.189706,-15.447022,1.1820996,STANDING
190,-3.730359,-7.5728006,13.836878,STANDING
191,3.060959,-11.867843,3.726792,STANDING
192,8.252914,-16.0973,1.1542876,STANDING
193,8.315273,-16.285912,1.1892308,STANDING
194,8.62286,-17.52624,1.659987,STANDING
195,4.533449,-12.600442,2.8093176,STANDING
196,8.590615,-17.47342,1.6608769,STANDING
197,8.253469,-16.16027,1.2171967,STANDING
198,7.831543,-15.546211,1.3229722,STANDING
199,7.443159,-15.15356,1.4786714,STANDING
200,0.81957984,-11.5908375,6.247571,STANDING
201,5.3867674,-13.187397,2.4254377,STANDING
202,-10.645728,-3.2268863,12.386718,SITTING
203,-11.63269,-3.6772165,11.377882,SITTING
204,-17.715221,-5.5521684,2.3974783,SITTING
205,-16.824175,-5.5244226,2.9106596,SITTING
206,-19.781525,-6.4015756,1.0833896,SITTING
207,-19.769083,-6.392577,1.0994742,SITTING
208,-19.266294,-6.0622773,1.6537439,SITTING
209,-19.07469,-5.9620867,1.7801307,SITTING
210,-19.610056,-6.2829323,1.3168482,SITTING
211,-15.809503,-5.81923,3.7969513,SITTING
212,-18.794321,-5.8513484,1.9348023,SITTING
213,-7.626598,11.261366,-4.425146,LAYING
214,-8.433114,10.152367,-5.0325623,LAYING
215,-13.67038,1.6738153,-11.454417,LAYING
216,-13.93967,1.5479251,-11.7957945,LAYING
217,-13.946703,1.5447448,-11.805355,LAYING
218,-13.125707,2.010397,-10.687213,LAYING
219,-12.991969,2.0899734,-10.465174,LAYING
220,-13.439956,1.8069942,-11.145083,LAYING
221,-13.919365,1.5535904,-11.769873,LAYING
222,-13.740929,1.6334759,-11.545117,LAYING
223,-13.69845,1.6554872,-11.490401,LAYING
224,-13.159433,1.9884316,-10.738755,LAYING
225,-7.4796777,-7.5515623,8.781008,SITTING
226,-10.735181,-8.104236,-2.1645966,SITTING
227,-12.777006,-8.031667,-5.578018,SITTING
228,-12.402392,-7.9858675,-5.1336455,SITTING
229,-12.683992,-8.022683,-5.3438787,SITTING
230,-12.106913,-7.934944,-4.559099,SITTING
231,-11.659738,-7.895865,-3.5032063,SITTING
232,-9.06239,-7.6229577,7.1496696,SITTING
233,-9.40659,-8.665862,1.0994197,SITTING
234,-9.899662,-8.399758,-0.029889893,SITTING
235,-11.423683,-7.925894,-2.788668,SITTING
236,-12.9020605,-8.027712,-5.3536186,SITTING
237,-7.429551,12.256984,-0.4434966,LAYING
238,-7.117824,11.871909,-0.7845561,LAYING
239,-6.4911833,13.485185,-8.884799,LAYING
240,-6.44869,13.866201,-8.273985,LAYING
241,-6.512,13.142123,-9.490178,LAYING
242,-6.554403,13.487611,-8.752295,LAYING
243,-6.5576954,13.4285145,-8.838753,LAYING
244,-5.8322806,13.930724,-12.390122,LAYING
245,-6.484454,12.815405,-10.804547,LAYING
246,-6.4645367,14.04678,-7.974129,LAYING
247,-6.463477,13.667899,-8.617782,LAYING
248,12.273732,-3.093948,2.6995382,WALKING
249,11.550275,-3.701979,2.7789416,WALKING
250,11.820884,-3.135798,2.5723875,WALKING
251,5.5635953,-6.0625734,-5.90153,WALKING
252,5.3515067,-5.9413433,-6.3197613,WALKING
253,5.6231694,-6.071472,-6.042835,WALKING
254,5.437954,-5.845249,-6.4985023,WALKING
255,5.0420265,-6.0773015,-6.4759374,WALKING
256,6.3179765,-6.112012,-6.885916,WALKING
257,5.4527087,-5.535631,-7.501718,WALKING
258,4.929165,-6.0647135,-6.09285,WALKING
259,7.304214,-6.13317,-6.9340777,WALKING
260,6.6072025,-5.9819684,-7.2452226,WALKING
261,5.463971,-5.5885043,-6.5702715,WALKING
262,5.354047,-5.6555023,-6.6528144,WALKING
263,5.6393104,-5.799607,-7.317711,WALKING
264,6.049768,-5.8930535,-7.640395,WALKING
265,6.084282,-6.0507336,-7.6856174,WALKING
266,4.875267,-5.7455735,-7.3272557,WALKING
267,4.57613,-5.5252743,-8.291444,WALKING
268,5.5312495,-5.913165,-8.403407,WALKING
269,6.7018266,-4.964784,-9.001187,WALKING
270,6.1604652,-5.70079,-5.5431128,WALKING
271,6.397694,-4.340267,-6.1566415,WALKING
272,5.268123,-5.1658654,-8.631032,WALKING
273,4.8900914,-5.4063363,-8.373427,WALKING
274,5.589491,-5.5192046,-7.278828,WALKING
275,5.7687645,-5.5091085,-6.7040915,WALKING
276,4.5847225,-6.173898,-6.4252005,WALKING
277,5.132535,-5.5763164,-7.9104,WALKING
278,5.521914,-5.793004,-7.458801,WALKING
279,5.187458,-6.2719264,-5.4540124,WALKING
280,5.4725876,-6.282738,-5.4475346,WALKING
281,5.361699,-6.2029934,-5.7208633,WALKING
282,6.6096306,-5.0322866,-8.650351,WALKING
283,5.8721437,-5.0227394,-9.063273,WALKING
284,4.667486,-5.9854617,-6.817774,WALKING
285,7.195238,-6.048743,-7.3644834,WALKING
286,7.2960954,-6.08751,-7.272978,WALKING
287,6.0958834,-5.2673073,-8.6114645,WALKING
288,4.8439174,-5.30312,-8.86893,WALKING
289,4.8618565,-5.469423,-8.43891,WALKING
290,5.4980545,-5.3090043,-8.511835,WALKING
291,6.1856184,-5.1788297,-8.770692,WALKING
292,6.043222,-5.12205,-8.903346,WALKING
293,5.5133004,-5.1143355,-9.075182,WALKING
294,4.6798344,-5.967773,-7.5778646,WALKING
295,6.2883754,-6.2299457,-7.5980906,WALKING
296,9.773457,6.6008945,-1.6673008,WALKING_DOWNSTAIRS
297,5.516803,10.746272,-0.6949724,WALKING_DOWNSTAIRS
298,4.955934,5.9116206,-9.270699,WALKING_DOWNSTAIRS
299,5.9760165,7.459447,-11.755618,WALKING_DOWNSTAIRS
300,4.499939,5.3117237,-9.220166,WALKING_DOWNSTAIRS
301,6.680459,11.131066,-3.0678189,WALKING_DOWNSTAIRS
302,5.7618346,10.462068,-2.1190667,WALKING_DOWNSTAIRS
303,11.558808,11.347068,11.159621,WALKING_UPSTAIRS
304,10.427745,11.634021,11.553546,WALKING_UPSTAIRS
305,11.02537,12.710902,11.424588,WALKING_UPSTAIRS
306,8.354293,10.617611,11.743746,WALKING_UPSTAIRS
307,10.999239,12.287608,10.915976,WALKING_UPSTAIRS
308,11.00375,12.927051,10.661397,WALKING_UPSTAIRS
309,11.3575945,12.665372,10.770799,WALKING_UPSTAIRS
310,11.483106,13.36296,11.732458,WALKING_UPSTAIRS
311,11.319126,13.304927,11.930499,WALKING_UPSTAIRS
312,11.018075,13.42609,12.323679,WALKING_UPSTAIRS
313,10.617368,12.1972,11.438726,WALKING_UPSTAIRS
314,10.228168,10.922749,11.269858,WALKING_UPSTAIRS
315,8.9963255,11.439338,11.81147,WALKING_UPSTAIRS
316,10.514523,13.435323,11.2194195,WALKING_UPSTAIRS
317,8.149745,10.561479,11.720978,WALKING_UPSTAIRS
318,10.214571,12.769171,11.980877,WALKING_UPSTAIRS
319,11.047316,13.220542,12.06308,WALKING_UPSTAIRS
320,11.414728,13.126062,11.66356,WALKING_UPSTAIRS
321,11.640569,13.735637,11.979384,WALKING_UPSTAIRS
322,12.193156,12.541028,11.04295,WALKING_UPSTAIRS
323,10.660455,12.86914,11.500718,WALKING_UPSTAIRS
324,10.548928,12.570715,11.5519085,WALKING_UPSTAIRS
325,11.393588,14.022354,11.862308,WALKING_UPSTAIRS
326,7.818484,10.619165,11.5009985,WALKING_UPSTAIRS
327,10.626519,12.735714,11.655,WALKING_UPSTAIRS
328,12.414917,13.631217,11.651142,WALKING_UPSTAIRS
329,10.827541,12.988234,12.101693,WALKING_UPSTAIRS
330,4.1984844,16.366835,-2.0227096,WALKING_DOWNSTAIRS
331,3.6399171,12.278418,-1.95623,WALKING_DOWNSTAIRS
332,2.768339,11.2466,-1.6754186,WALKING_DOWNSTAIRS
333,4.09686,5.4244475,-9.524358,WALKING_DOWNSTAIRS
334,3.7244353,10.944289,-2.2893138,WALKING_DOWNSTAIRS
335,7.359935,1.1934655,-0.81351453,WALKING_DOWNSTAIRS
336,6.099427,7.6993227,-10.345083,WALKING_DOWNSTAIRS
337,8.44562,17.244686,-3.8949108,WALKING_DOWNSTAIRS
338,3.7622333,10.8307495,-2.2633553,WALKING_DOWNSTAIRS
339,3.884863,7.3962493,-1.6419164,WALKING_DOWNSTAIRS
340,3.765801,7.1170416,-1.4478588,WALKING_DOWNSTAIRS
341,11.633576,5.3443418,-4.964543,WALKING_DOWNSTAIRS
342,6.470805,11.987666,-3.420908,WALKING_DOWNSTAIRS
343,2.6218946,11.242447,-1.5177349,WALKING_DOWNSTAIRS
344,4.3565526,5.1010113,-9.319964,WALKING_DOWNSTAIRS
345,4.452811,11.126704,-2.2442214,WALKING_DOWNSTAIRS
346,6.2808995,11.201455,-2.892591,WALKING_DOWNSTAIRS
347,1.5575951,-20.447151,-2.9642167,STANDING
348,2.0689518,-15.901761,-0.8023553,STANDING
349,4.962495,-8.695144,-0.88270354,STANDING
350,5.55601,-11.2169695,-11.079263,STANDING
351,1.979795,-15.7157755,-0.7101042,STANDING
352,1.4474906,-16.755388,-0.47371697,STANDING
353,1.283298,-16.849005,-0.17909864,STANDING
354,1.2035881,-16.689707,-0.12965804,STANDING
355,1.2525795,-17.666178,-1.3193821,STANDING
356,1.0553802,-17.44918,-0.9469468,STANDING
357,1.1174977,-17.319965,-0.98344254,STANDING
358,1.4808022,-16.435322,-0.5122507,STANDING
359,-3.0313623,-9.0714035,8.475842,STANDING
360,1.7829669,-15.506805,-0.5853841,STANDING
361,-2.4232094,-12.51035,4.196187,STANDING
362,1.742331,-15.774111,-0.6006469,STANDING
363,-3.5624397,-7.0429196,13.683024,STANDING
364,-2.5969453,-9.072177,9.233596,STANDING
365,5.3561964,-8.966103,0.2704878,STANDING
366,4.8763843,-9.050724,0.8610029,STANDING
367,4.7842355,-9.080979,1.0072181,STANDING
368,2.1627126,-8.896149,2.6725786,STANDING
369,2.751765,-8.778016,1.926812,STANDING
370,6.7423205,-11.850638,-11.974103,STANDING
371,2.1325517,-8.877463,2.6732874,STANDING
372,5.92118,-9.061317,0.134165,STANDING
373,5.7302866,-9.020225,0.17926311,STANDING
374,6.692379,-12.173475,-12.570733,STANDING
375,5.059393,-9.005082,0.66547376,STANDING
376,6.856275,-11.900306,-11.996344,STANDING
377,6.871749,-11.486882,-11.271283,STANDING
378,-5.2065997,-5.379501,12.280451,SITTING
379,-7.135315,-7.6175647,9.320734,SITTING
380,-6.6845813,-10.126414,-2.0088804,SITTING
381,-6.896581,-11.64579,-8.046946,SITTING
382,-7.4292717,-9.418793,3.1405947,SITTING
383,-8.119342,-8.880816,-0.6289366,SITTING
384,-6.8961935,-4.944975,12.186961,SITTING
385,-7.921704,-2.120778,13.957887,SITTING
386,-8.861543,-1.4150351,12.982523,SITTING
387,-14.021979,-1.7556998,12.32661,SITTING
388,-21.07089,-1.4895788,9.905551,SITTING
389,-19.906826,-1.6164095,10.013144,SITTING
390,-8.344511,-11.295737,8.861322,SITTING
391,-6.2541757,-10.950194,5.099196,SITTING
392,-10.60095,-16.58152,-3.8930907,SITTING
393,-10.995915,-17.272413,-4.4298816,SITTING
394,-10.100438,-15.750753,-1.7604706,SITTING
395,-9.920001,-15.449016,-1.1315159,SITTING
396,-10.9586315,-16.668154,-3.7970822,SITTING
397,-8.141642,-13.026434,2.3966606,SITTING
398,-10.313043,-15.948648,-2.933203,SITTING
399,-10.498241,-16.288683,-3.0410593,SITTING
400,-11.005066,-17.136192,-3.9897676,SITTING
401,-11.045818,-18.380804,-4.9471993,SITTING
402,-10.701625,-22.505764,-6.536821,SITTING
403,-10.994881,-18.984442,-5.2443337,SITTING
404,-16.535183,5.0923142,-5.6610503,LAYING
405,-15.8089695,5.81393,-7.386193,LAYING
406,-18.003342,5.505748,-9.121665,LAYING
407,-19.200804,4.108426,-9.986201,LAYING
408,-13.415644,7.335575,-6.4265766,LAYING
409,-13.521134,7.2753243,-6.5034885,LAYING
410,-12.505192,7.997373,-5.3445654,LAYING
411,-17.622862,5.608775,-8.942092,LAYING
412,-13.374646,7.330763,-6.338846,LAYING
413,-15.604884,5.8164515,-7.163268,LAYING
414,-12.565965,7.8930674,-5.4373918,LAYING
415,-10.900308,9.212238,-5.00948,LAYING
416,-17.714968,5.349116,-9.305657,LAYING
417,-12.18786,8.160983,-5.259319,LAYING
418,-8.563057,12.070397,-5.3810573,LAYING
419,-9.525329,10.367043,-6.1252966,LAYING
420,-16.405943,4.136781,-13.976652,LAYING
421,-16.113867,5.0310583,-12.842663,LAYING
422,-11.14145,8.296824,-7.6818395,LAYING
423,-11.21138,8.235996,-7.762938,LAYING
424,-14.648736,5.9382234,-11.183642,LAYING
425,-16.164604,5.0175114,-12.872008,LAYING
426,-15.872142,5.3017387,-12.429253,LAYING
427,-11.132679,8.306521,-7.6652365,LAYING
428,-8.865027,11.240291,-5.7392282,LAYING
429,-14.755701,5.8439198,-11.467234,LAYING
430,-16.387232,4.281976,-13.925703,LAYING
431,-16.316729,4.6450796,-13.43866,LAYING
432,-16.104746,5.069715,-12.833585,LAYING
433,-15.174799,5.701252,-11.807683,LAYING
434,14.738044,-5.667664,0.7500258,WALKING
435,14.759488,-5.45144,0.9222115,WALKING
436,12.569252,2.3806162,-0.23609523,WALKING
437,12.173588,2.163556,-0.17696564,WALKING
438,13.0375595,-0.06737265,2.5783134,WALKING
439,12.503157,0.37172088,2.0431464,WALKING
440,12.502176,0.63571244,2.0905676,WALKING
441,12.637143,0.65532583,2.097259,WALKING
442,12.832033,0.94797873,2.1399767,WALKING
443,7.956772,-1.3761941,-0.8651478,WALKING
444,7.9736266,-1.3758295,-0.99884677,WALKING
445,11.566326,1.8904148,-0.100783736,WALKING
446,13.647925,0.6104204,2.9396808,WALKING
447,11.571942,1.8995199,-0.06795882,WALKING
448,11.157705,1.6855013,-0.23980054,WALKING
449,12.363274,-1.3567778,2.1720147,WALKING
450,15.010181,-6.1388707,0.47947386,WALKING
451,14.992629,-6.196222,0.42647332,WALKING
452,13.343134,0.073952824,2.7774968,WALKING
453,11.594453,1.1793976,0.769787,WALKING
454,9.384771,-2.2442272,-0.9464947,WALKING
455,10.00978,-2.8153715,-0.16765974,WALKING
456,10.425806,-0.22761339,0.49703804,WALKING
457,10.803009,-0.14001204,0.65728194,WALKING
458,11.667158,2.042816,-0.15101168,WALKING
459,7.9837866,-1.6028295,-1.8809252,WALKING
460,7.9628425,-1.5448722,-1.7795978,WALKING
461,10.931114,-0.9648442,1.0152602,WALKING
462,11.667521,0.114067264,1.4190925,WALKING
463,12.364946,-2.0425901,2.2586856,WALKING
464,11.716267,-1.8757464,1.7101578,WALKING
465,6.6119413,7.333509,-7.7739778,WALKING_DOWNSTAIRS
466,6.456212,7.3161445,-7.9259667,WALKING_DOWNSTAIRS
467,2.4080174,5.497192,-8.991835,WALKING_DOWNSTAIRS
468,3.6265655,6.1880946,-8.374619,WALKING_DOWNSTAIRS
469,3.9129646,6.361554,-8.258049,WALKING_DOWNSTAIRS
470,8.12357,6.734868,-6.317036,WALKING_DOWNSTAIRS
471,6.09964,7.316793,-7.802209,WALKING_DOWNSTAIRS
472,4.456057,6.8480163,-7.6102204,WALKING_DOWNSTAIRS
473,15.29171,8.355787,-9.318065,WALKING_DOWNSTAIRS
474,10.572977,8.792278,-11.185636,WALKING_DOWNSTAIRS
475,8.0506525,6.838167,-10.056073,WALKING_DOWNSTAIRS
476,13.315173,9.328238,-4.133357,WALKING_DOWNSTAIRS
477,6.226092,7.3982334,-8.271831,WALKING_DOWNSTAIRS
478,5.9728155,7.3214736,-8.879212,WALKING_DOWNSTAIRS
479,9.450994,8.971938,-8.312429,WALKING_DOWNSTAIRS
480,8.819559,12.686278,-11.891651,WALKING_DOWNSTAIRS
481,6.2253394,8.709735,-15.171878,WALKING_DOWNSTAIRS
482,5.847783,8.488791,-14.201229,WALKING_DOWNSTAIRS
483,5.8820543,8.481734,-13.922146,WALKING_DOWNSTAIRS
484,6.488032,8.559045,-12.75806,WALKING_DOWNSTAIRS
485,11.179287,9.89865,-14.742423,WALKING_DOWNSTAIRS
486,10.59262,8.689549,-15.590749,WALKING_DOWNSTAIRS
487,6.2182717,9.962567,-15.214679,WALKING_DOWNSTAIRS
488,10.972514,5.7383337,9.467012,WALKING_UPSTAIRS
489,10.892979,5.911071,9.040107,WALKING_UPSTAIRS
490,10.938782,5.920543,8.988502,WALKING_UPSTAIRS
491,7.8963647,-4.7872458,2.6649299,WALKING_UPSTAIRS
492,5.548372,-2.0105078,9.224677,WALKING_UPSTAIRS
493,6.8922977,-0.9065547,9.671881,WALKING_UPSTAIRS
494,5.6734776,-1.9605674,9.286018,WALKING_UPSTAIRS
495,5.5987763,-2.0127769,9.274045,WALKING_UPSTAIRS
496,6.8651032,-0.96234447,9.734032,WALKING_UPSTAIRS
497,10.179523,4.3689165,8.483446,WALKING_UPSTAIRS
498,12.356169,6.2072134,8.194634,WALKING_UPSTAIRS
499,9.927941,4.62723,8.669124,WALKING_UPSTAIRS
500,8.7712555,5.5421658,8.327865,WALKING_UPSTAIRS
501,12.780621,6.439115,7.4923863,WALKING_UPSTAIRS
502,12.86874,6.2906604,7.6699944,WALKING_UPSTAIRS
503,8.215475,1.2240542,8.341559,WALKING_UPSTAIRS
504,10.363457,4.643117,8.551095,WALKING_UPSTAIRS
505,10.546994,4.673844,8.644182,WALKING_UPSTAIRS
506,7.06648,-0.08107469,9.0006075,WALKING_UPSTAIRS
507,7.1883254,-0.13621147,9.483106,WALKING_UPSTAIRS
