,x,y,Activity
77,-37.92235,18.2546,LAYING
78,13.409358,-5.8782024,WALKING
79,13.281965,-2.546056,WALKING
80,31.518951,2.5855134,WALKING
81,14.495431,0.6581127,WALKING
82,17.524843,6.762412,WALKING
83,18.439663,7.576907,WALKING
84,14.725945,-0.16773759,WALKING
85,12.634497,-3.6953537,WALKING
86,14.319393,-5.2553115,WALKING
87,15.2340555,0.69015104,WALKING
88,15.790165,1.0718751,WALKING
89,18.496294,7.970369,WALKING
90,18.047915,8.144418,WALKING
91,18.248829,8.567728,WALKING
92,16.849222,2.3456635,WALKING
93,14.853776,-0.029075006,WALKING
94,15.157767,0.78162277,WALKING
95,13.628671,-1.4869841,WALKING
96,12.453623,-3.6652207,WALKING
97,12.884226,-5.319595,WALKING
98,16.196821,2.2378826,WALKING
99,16.689926,2.8498704,WALKING
100,16.24457,2.531753,WALKING
101,18.135885,9.065742,WALKING
102,18.240332,8.417877,WALKING
103,14.314649,0.2933664,WALKING
104,14.624153,-0.034066465,WALKING
105,17.181692,2.101102,WALKING
106,15.854356,1.4856486,WALKING
107,15.229812,1.0877526,WALKING
108,14.241391,1.539617,WALKING
109,12.492238,-3.5705564,WALKING
110,12.537067,-3.888667,WALKING
111,16.093447,3.61534,WALKING
112,16.76801,2.9724586,WALKING
113,19.468655,9.637356,WALKING
114,16.222889,2.6769528,WALKING
115,14.722,0.41273063,WALKING
116,14.032354,-1.075314,WALKING
117,12.692503,-3.480002,WALKING
118,13.016847,-5.6766744,WALKING
119,13.186879,-6.1566124,WALKING
120,13.070466,-5.9702263,WALKING
121,12.408433,-4.6635227,WALKING
122,11.196671,-4.054352,WALKING
123,11.174144,-4.0359707,WALKING
124,13.059535,-5.733365,WALKING
125,29.483768,24.158058,WALKING_DOWNSTAIRS
126,28.926401,24.886793,WALKING_DOWNSTAIRS
127,25.998144,22.721691,WALKING_DOWNSTAIRS
128,13.124405,32.67685,WALKING_DOWNSTAIRS
129,10.821568,48.343323,WALKING_DOWNSTAIRS
130,10.3160715,48.50409,WALKING_DOWNSTAIRS
131,15.641581,49.404408,WALKING_DOWNSTAIRS
132,15.677073,48.312008,WALKING_DOWNSTAIRS
133,16.328785,19.289907,WALKING_DOWNSTAIRS
134,20.855566,47.072636,WALKING_DOWNSTAIRS
135,20.70845,46.96961,WALKING_DOWNSTAIRS
136,12.514866,51.2894,WALKING_DOWNSTAIRS
137,19.656876,45.525253,WALKING_DOWNSTAIRS
138,20.525423,46.841816,WALKING_DOWNSTAIRS
139,14.35306,50.769314,WALKING_DOWNSTAIRS
140,10.466932,47.29638,WALKING_DOWNSTAIRS
141,7.923537,63.64198,WALKING_DOWNSTAIRS
142,22.95703,24.53642,WALKING_DOWNSTAIRS
143,13.204925,61.98652,WALKING_DOWNSTAIRS
144,10.964757,27.529858,WALKING_DOWNSTAIRS
145,12.419484,27.434978,WALKING_DOWNSTAIRS
146,11.836035,27.420017,WALKING_DOWNSTAIRS
147,29.016119,25.034643,WALKING_DOWNSTAIRS
148,24.17984,22.922035,WALKING_DOWNSTAIRS
149,16.876577,19.517439,WALKING_DOWNSTAIRS
150,74.75205,-0.25237748,WALKING_UPSTAIRS
151,73.33769,-0.07989162,WALKING_UPSTAIRS
152,73.31002,0.6290413,WALKING_UPSTAIRS
153,74.73339,1.5436513,WALKING_UPSTAIRS
154,76.569984,0.58615476,WALKING_UPSTAIRS
155,69.015915,3.2122495,WALKING_UPSTAIRS
156,74.42423,0.6959299,WALKING_UPSTAIRS
157,76.687325,0.771794,WALKING_UPSTAIRS
158,75.87941,2.9687946,WALKING_UPSTAIRS
159,76.34198,2.9407039,WALKING_UPSTAIRS
160,73.08984,1.4153655,WALKING_UPSTAIRS
161,71.86273,2.3912196,WALKING_UPSTAIRS
162,73.04626,1.0937086,WALKING_UPSTAIRS
163,70.582886,3.144985,WALKING_UPSTAIRS
164,75.39379,-0.38352007,WALKING_UPSTAIRS
165,75.11328,-0.6539123,WALKING_UPSTAIRS
166,75.26662,-0.4125763,WALKING_UPSTAIRS
167,77.17394,1.2883712,WALKING_UPSTAIRS
168,77.19501,2.0075352,WALKING_UPSTAIRS
169,72.08488,2.9896998,WALKING_UPSTAIRS
170,73.48213,2.8063455,WALKING_UPSTAIRS
171,74.394714,0.75535196,WALKING_UPSTAIRS
172,70.55781,3.1614335,WALKING_UPSTAIRS
173,73.566536,3.2812712,WALKING_UPSTAIRS
174,77.544586,1.3998214,WALKING_UPSTAIRS
175,52.446106,27.146187,WALKING_UPSTAIRS
176,-25.139679,-13.253689,STANDING
177,16.366528,-35.081146,STANDING
178,16.16802,-35.101463,STANDING
179,-13.606671,-28.222343,STANDING
180,-22.513937,-20.852774,STANDING
181,16.012894,-35.417397,STANDING
182,16.711958,-34.050716,STANDING
183,11.01007,-37.761738,STANDING
184,16.440264,-34.43304,STANDING
185,15.97233,-35.15763,STANDING
186,10.833247,-37.874836,STANDING
187,10.386272,-38.16928,STANDING
188,9.737587,-38.59788,STANDING
189,16.22009,-34.754955,STANDING
190,-25.018923,-13.193458,STANDING
191,7.9001155,-39.326496,STANDING
192,16.336353,-33.89995,STANDING
193,16.432232,-33.66016,STANDING
194,16.825861,-31.93131,STANDING
195,9.4225,-38.61165,STANDING
196,16.78266,-31.978167,STANDING
197,16.324825,-33.79955,STANDING
198,15.674568,-34.535954,STANDING
199,15.095479,-35.00663,STANDING
200,-13.754479,-27.566254,STANDING
201,10.653375,-37.721306,STANDING
202,-41.627274,-11.910801,SITTING
203,-42.92088,-13.900105,SITTING
204,-55.299534,-32.51933,SITTING
205,-54.218613,-31.504202,SITTING
206,-58.491714,-34.81227,SITTING
207,-58.475826,-34.78841,SITTING
208,-57.764614,-33.98238,SITTING
209,-57.541206,-33.80007,SITTING
210,-58.234383,-34.467705,SITTING
211,-52.482716,-29.97585,SITTING
212,-57.211555,-33.56371,SITTING
213,-60.591698,34.82989,LAYING
214,-61.6363,32.93447,LAYING
215,-72.32317,4.9274907,LAYING
216,-72.52459,5.499269,LAYING
217,-72.53132,5.513843,LAYING
218,-71.97476,3.9076476,LAYING
219,-71.88511,3.6647599,LAYING
220,-72.17823,4.4961877,LAYING
221,-72.50984,5.4586334,LAYING
222,-72.37341,5.0703545,LAYING
223,-72.343155,4.982846,LAYING
224,-71.99615,3.9688907,LAYING
225,-33.56533,-21.356073,SITTING
226,-40.030792,-43.97212,SITTING
227,-45.758163,-46.249233,SITTING
228,-45.017162,-45.982456,SITTING
229,-45.51863,-46.051704,SITTING
230,-44.22293,-45.58197,SITTING
231,-42.77482,-44.77067,SITTING
232,-38.841404,-24.525564,SITTING
233,-35.40206,-41.269955,SITTING
234,-36.59402,-42.433655,SITTING
235,-41.58772,-44.21661,SITTING
236,-45.79065,-45.927597,SITTING
237,-51.67394,37.18157,LAYING
238,-52.355774,36.6483,LAYING
239,-70.346794,36.86751,LAYING
240,-69.63861,37.639256,LAYING
241,-70.97689,36.343216,LAYING
242,-70.13452,36.886078,LAYING
243,-70.24546,36.80552,LAYING
244,-81.079346,38.963825,LAYING
245,-72.85668,35.488464,LAYING
246,-69.364044,37.97087,LAYING
247,-70.00303,37.17651,LAYING
248,41.18766,-5.94367,WALKING
249,40.241875,-6.1458187,WALKING
250,40.708775,-5.6948256,WALKING
251,10.6315775,-6.871803,WALKING
252,10.088638,-6.675787,WALKING
253,10.643507,-6.53748,WALKING
254,9.949774,-6.4183483,WALKING
255,9.680122,-7.024793,WALKING
256,10.041228,-5.1137815,WALKING
257,8.698295,-5.84672,WALKING
258,10.217807,-7.1487126,WALKING
259,9.732973,-3.778009,WALKING
260,9.421244,-4.5577593,WALKING
261,9.761965,-6.336006,WALKING
262,9.623651,-6.426734,WALKING
263,9.143076,-5.6404805,WALKING
264,8.962975,-5.04622,WALKING
265,8.984879,-4.961372,WALKING
266,8.700325,-6.573181,WALKING
267,7.4077396,-6.510843,WALKING
268,7.900896,-5.3554883,WALKING
269,7.0458164,-3.6168842,WALKING
270,10.662791,-7.855882,WALKING
271,10.229522,-2.106668,WALKING
272,7.070095,-5.538091,WALKING
273,7.3804913,-6.122179,WALKING
274,9.059338,-5.786856,WALKING
275,9.707197,-5.9559784,WALKING
276,9.512579,-7.53612,WALKING
277,8.084662,-6.054866,WALKING
278,8.872507,-5.755923,WALKING
279,11.319201,-7.106428,WALKING
280,11.251014,-7.175906,WALKING
281,10.874001,-7.0505905,WALKING
282,7.580895,-3.6805308,WALKING
283,6.6904693,-4.674857,WALKING
284,9.146818,-7.1817846,WALKING
285,9.263075,-3.7984195,WALKING
286,9.370716,-3.7121475,WALKING
287,7.5572934,-4.5404215,WALKING
288,6.7060986,-5.9865465,WALKING
289,7.3339605,-6.142317,WALKING
290,7.392098,-5.339596,WALKING
291,7.309862,-4.3537145,WALKING
292,7.0563993,-4.4805255,WALKING
293,6.6061563,-5.1010203,WALKING
294,8.328042,-6.8084755,WALKING
295,9.1020155,-4.824831,WALKING
296,15.868861,19.639936,WALKING_DOWNSTAIRS
297,18.433535,46.62339,WALKING_DOWNSTAIRS
298,8.862541,27.890987,WALKING_DOWNSTAIRS
299,3.9975173,26.983349,WALKING_DOWNSTAIRS
300,9.088584,27.067621,WALKING_DOWNSTAIRS
301,16.594429,48.717396,WALKING_DOWNSTAIRS
302,17.929863,46.463535,WALKING_DOWNSTAIRS
303,73.91783,0.3166426,WALKING_UPSTAIRS
304,73.53783,1.8527613,WALKING_UPSTAIRS
305,75.17591,1.8815899,WALKING_UPSTAIRS
306,70.22876,3.2994988,WALKING_UPSTAIRS
307,74.6044,1.5015903,WALKING_UPSTAIRS
308,75.34777,1.6945372,WALKING_UPSTAIRS
309,75.37439,1.2332193,WALKING_UPSTAIRS
310,76.423225,1.794706,WALKING_UPSTAIRS
311,76.28216,1.9218147,WALKING_UPSTAIRS
312,76.38671,2.3829117,WALKING_UPSTAIRS
313,74.30687,2.028963,WALKING_UPSTAIRS
314,72.505424,1.5912604,WALKING_UPSTAIRS
315,72.04727,3.2293446,WALKING_UPSTAIRS
316,75.63828,3.0933244,WALKING_UPSTAIRS
317,69.99984,3.4076538,WALKING_UPSTAIRS
318,74.67218,2.9673698,WALKING_UPSTAIRS
319,76.0063,2.1508358,WALKING_UPSTAIRS
320,76.05551,1.682155,WALKING_UPSTAIRS
321,77.019714,1.9218202,WALKING_UPSTAIRS
322,75.83853,0.439094,WALKING_UPSTAIRS
323,75.15754,2.4265091,WALKING_UPSTAIRS
324,74.704575,2.3708365,WALKING_UPSTAIRS
325,77.17794,2.4074311,WALKING_UPSTAIRS
326,52.555744,26.970121,WALKING_UPSTAIRS
327,74.94203,2.460368,WALKING_UPSTAIRS
328,77.28533,0.9248017,WALKING_UPSTAIRS
329,75.60431,2.3244352,WALKING_UPSTAIRS
330,23.138596,56.4696,WALKING_DOWNSTAIRS
331,21.041319,48.08014,WALKING_DOWNSTAIRS
332,21.884949,46.68372,WALKING_DOWNSTAIRS
333,8.440426,26.625526,WALKING_DOWNSTAIRS
334,20.208527,46.42006,WALKING_DOWNSTAIRS
335,22.542435,15.991215,WALKING_DOWNSTAIRS
336,7.2218866,30.935696,WALKING_DOWNSTAIRS
337,11.287015,62.637287,WALKING_DOWNSTAIRS
338,20.114017,46.373135,WALKING_DOWNSTAIRS
339,13.022576,27.172588,WALKING_DOWNSTAIRS
340,13.349304,27.023754,WALKING_DOWNSTAIRS
341,23.340317,24.151794,WALKING_DOWNSTAIRS
342,15.870094,50.30618,WALKING_DOWNSTAIRS
343,22.18757,46.61636,WALKING_DOWNSTAIRS
344,9.013294,26.91298,WALKING_DOWNSTAIRS
345,19.431185,46.97712,WALKING_DOWNSTAIRS
346,17.014832,48.39897,WALKING_DOWNSTAIRS
347,31.933506,-59.37807,STANDING
348,13.873147,-45.94831,STANDING
349,19.02871,-42.73824,STANDING
350,20.755302,-43.149075,STANDING
351,13.87033,-45.66707,STANDING
352,12.063572,-46.43688,STANDING
353,11.418561,-46.521797,STANDING
354,11.351442,-46.37534,STANDING
355,12.547295,-47.457794,STANDING
356,12.120134,-47.110744,STANDING
357,12.248214,-47.055264,STANDING
358,12.426439,-46.129093,STANDING
359,-23.268867,-21.64877,STANDING
360,13.872287,-45.06717,STANDING
361,-17.058876,-33.376106,STANDING
362,13.447255,-45.458412,STANDING
363,-25.480268,-13.816916,STANDING
364,-22.881462,-20.595287,STANDING
365,18.3691,-41.305313,STANDING
366,17.145784,-41.034813,STANDING
367,16.92185,-40.957413,STANDING
368,12.949045,-40.95746,STANDING
369,14.113732,-41.247574,STANDING
370,22.566267,-41.563858,STANDING
371,12.942872,-40.974216,STANDING
372,19.64442,-41.18963,STANDING
373,19.188677,-41.19676,STANDING
374,23.539137,-41.686558,STANDING
375,17.552221,-41.107384,STANDING
376,22.578808,-41.419518,STANDING
377,20.66371,-41.4669,STANDING
378,-28.641262,-15.646936,SITTING
379,-33.106037,-20.494133,SITTING
380,-31.255953,-47.894363,SITTING
381,11.262611,-77.91522,SITTING
382,-28.231503,-36.424152,SITTING
383,-34.85593,-44.023476,SITTING
384,-33.197075,-14.552216,SITTING
385,-37.534298,-7.8111205,SITTING
386,-39.27495,-8.541788,SITTING
387,-49.138645,-11.169202,SITTING
388,-61.044052,-13.433441,SITTING
389,-59.3764,-13.353991,SITTING
390,-31.7779,-23.870327,SITTING
391,-24.845654,-34.454517,SITTING
392,-27.00144,-67.44918,SITTING
393,-26.65304,-68.829124,SITTING
394,-27.093409,-63.278236,SITTING
395,-27.47556,-62.323353,SITTING
396,-26.728107,-67.66146,SITTING
397,-24.846357,-42.09635,SITTING
398,-27.135836,-65.57615,SITTING
399,-26.781645,-66.204414,SITTING
400,-26.35498,-68.29969,SITTING
401,-26.07053,-70.16648,SITTING
402,-15.605391,-77.083954,SITTING
403,-25.797426,-70.85257,SITTING
404,-62.35784,15.337854,LAYING
405,-62.821648,16.412205,LAYING
406,-63.844505,11.17363,LAYING
407,-63.103195,8.353131,LAYING
408,-67.21333,21.84934,LAYING
409,-67.22537,21.730387,LAYING
410,-62.740078,25.571018,LAYING
411,-63.98983,11.67582,LAYING
412,-67.16389,21.979403,LAYING
413,-62.887764,16.808254,LAYING
414,-62.863365,25.439547,LAYING
415,-62.361874,28.875595,LAYING
416,-64.51513,11.234186,LAYING
417,-62.698368,25.988474,LAYING
418,-62.36756,35.501663,LAYING
419,-63.528267,32.441685,LAYING
420,-75.83961,8.495697,LAYING
421,-75.11446,10.239216,LAYING
422,-67.02824,26.881258,LAYING
423,-67.10852,26.779402,LAYING
424,-71.25276,13.453927,LAYING
425,-75.16103,10.192685,LAYING
426,-74.76475,10.720059,LAYING
427,-67.01204,26.893608,LAYING
428,-62.905224,34.117893,LAYING
429,-71.37887,13.160908,LAYING
430,-75.8764,8.704694,LAYING
431,-75.579994,9.433687,LAYING
432,-75.13209,10.27546,LAYING
433,-71.34724,12.743672,LAYING
434,36.76529,-11.979844,WALKING
435,37.030018,-11.90637,WALKING
436,40.702106,4.6058903,WALKING
437,40.476955,4.1369567,WALKING
438,43.52333,-1.3127359,WALKING
439,42.731106,-0.3321003,WALKING
440,42.89105,-0.043091886,WALKING
441,43.018295,-0.082526684,WALKING
442,43.33193,0.17603445,WALKING
443,33.931633,-1.2778258,WALKING
444,33.937504,-1.206265,WALKING
445,40.032368,3.3849525,WALKING
446,44.59693,-0.8672056,WALKING
447,40.05064,3.3660352,WALKING
448,39.512753,3.0968714,WALKING
449,41.611553,-3.276067,WALKING
450,36.11937,-12.433794,WALKING
451,36.008087,-12.391834,WALKING
452,43.979767,-1.2990029,WALKING
453,40.6077,1.9828892,WALKING
454,36.070534,-2.0973184,WALKING
455,36.90196,-3.2886207,WALKING
456,38.949326,-0.15467183,WALKING
457,39.432083,-0.072487436,WALKING
458,40.06178,3.6427329,WALKING
459,5.922389,6.802575,WALKING
460,6.0768065,6.913831,WALKING
461,39.489037,-1.5561612,WALKING
462,41.26092,-0.193305,WALKING
463,41.385307,-4.1986294,WALKING
464,40.477726,-3.451683,WALKING
465,10.052028,31.426807,WALKING_DOWNSTAIRS
466,9.852605,31.306076,WALKING_DOWNSTAIRS
467,8.469914,23.685566,WALKING_DOWNSTAIRS
468,9.2477,25.017782,WALKING_DOWNSTAIRS
469,9.493859,25.297781,WALKING_DOWNSTAIRS
470,12.720668,32.122635,WALKING_DOWNSTAIRS
471,9.854986,31.383528,WALKING_DOWNSTAIRS
472,10.029656,25.326086,WALKING_DOWNSTAIRS
473,25.895458,34.83265,WALKING_DOWNSTAIRS
474,-2.807432,32.34553,WALKING_DOWNSTAIRS
475,1.7500156,31.32412,WALKING_DOWNSTAIRS
476,30.393938,25.205093,WALKING_DOWNSTAIRS
477,9.337044,31.136444,WALKING_DOWNSTAIRS
478,8.700055,30.718876,WALKING_DOWNSTAIRS
479,14.659085,51.705246,WALKING_DOWNSTAIRS
480,-3.7653348,49.52524,WALKING_DOWNSTAIRS
481,-6.7538066,39.420086,WALKING_DOWNSTAIRS
482,-5.621523,38.71027,WALKING_DOWNSTAIRS
483,-5.3551397,38.48384,WALKING_DOWNSTAIRS
484,-4.1005955,36.933456,WALKING_DOWNSTAIRS
485,-8.074498,34.596066,WALKING_DOWNSTAIRS
486,-9.668885,33.49591,WALKING_DOWNSTAIRS
487,-7.111697,41.28782,WALKING_DOWNSTAIRS
488,69.54812,12.676966,WALKING_UPSTAIRS
489,69.61418,13.257554,WALKING_UPSTAIRS
490,69.67642,13.306026,WALKING_UPSTAIRS
491,33.775295,-8.115998,WALKING_UPSTAIRS
492,56.405766,5.0444274,WALKING_UPSTAIRS
493,55.134243,6.2242746,WALKING_UPSTAIRS
494,56.33044,5.119431,WALKING_UPSTAIRS
495,56.40739,5.0648966,WALKING_UPSTAIRS
496,55.23292,6.184964,WALKING_UPSTAIRS
497,67.6346,12.841259,WALKING_UPSTAIRS
498,71.86027,13.38971,WALKING_UPSTAIRS
499,67.55537,13.245002,WALKING_UPSTAIRS
500,66.493774,14.919578,WALKING_UPSTAIRS
501,72.390625,13.144509,WALKING_UPSTAIRS
502,72.41954,13.021938,WALKING_UPSTAIRS
503,52.28828,7.524148,WALKING_UPSTAIRS
504,68.05944,12.98621,WALKING_UPSTAIRS
505,68.26885,12.8303995,WALKING_UPSTAIRS
506,54.094593,7.4694805,WALKING_UPSTAIRS
507,54.361557,6.9427266,WALKING_UPSTAIRS
508,53.628635,7.4803643,WALKING_UPSTAIRS
509,52.573303,7.6248193,WALKING_UPSTAIRS
510,71.29043,14.069222,WALKING_UPSTAIRS
511,56.594063,9.979206,WALKING_UPSTAIRS
512,53.269455,7.7639837,WALKING_UPSTAIRS
513,56.35519,9.698556,WALKING_UPSTAIRS
514,51.146305,7.5310297,WALKING_UPSTAIRS
515,51.996307,8.044588,WALKING_UPSTAIRS
516,53.526386,9.094095,WALKING_UPSTAIRS
517,53.096725,8.392861,WALKING_UPSTAIRS
518,51.178337,7.7413354,WALKING_UPSTAIRS
519,50.45891,8.528578,WALKING_UPSTAIRS
520,51.49592,9.59354,WALKING_UPSTAIRS
521,51.466633,9.854491,WALKING_UPSTAIRS
522,-2.663875,-42.713528,STANDING
523,19.696323,-54.9075,STANDING
524,24.165281,-57.757454,STANDING
525,21.332972,-52.963657,STANDING
526,13.585842,-51.024654,STANDING
527,13.679758,-51.20006,STANDING
528,13.652853,-51.367413,STANDING
529,26.149889,-54.938812,STANDING
530,19.83702,-52.45409,STANDING
531,19.122458,-52.318516,STANDING
532,19.130579,-52.3636,STANDING
533,26.172834,-54.969208,STANDING
534,6.415797,-42.13015,STANDING
535,15.9869,-52.51416,STANDING
536,-0.7152125,-40.155567,STANDING
537,-2.350258,-39.37991,STANDING
538,-2.410074,-39.32229,STANDING
539,22.679106,-52.17272,STANDING
540,12.146999,-35.75989,STANDING
541,-12.878011,-29.270391,STANDING
542,0.99629855,-41.417496,STANDING
543,6.1611934,-40.219826,STANDING
544,-13.435746,-28.993412,STANDING
545,21.561537,-51.99795,STANDING
546,22.803125,-52.321762,STANDING
547,14.627887,-33.94354,STANDING
548,14.433215,-34.11567,STANDING
549,13.054883,-35.408146,STANDING
550,14.342047,-34.015896,STANDING
551,-14.073275,-27.500984,STANDING
552,-37.91779,-11.060391,SITTING
553,-37.34027,-12.805575,SITTING
554,-42.172707,-25.277355,SITTING
555,-53.713398,-35.14626,SITTING
556,-55.58202,-36.511295,SITTING
557,-56.03844,-36.75087,SITTING
558,-56.348427,-36.855804,SITTING
559,-56.649067,-36.923443,SITTING
560,-53.86957,-35.091976,SITTING
561,-55.55055,-36.440784,SITTING
562,-53.060417,-33.540016,SITTING
563,-52.861927,-33.254898,SITTING
564,66.35322,28.508307,SITTING
565,-29.999489,-23.61064,SITTING
566,-19.323715,-47.434296,SITTING
567,-16.594664,-57.14052,SITTING
568,-14.150515,-57.936913,SITTING
569,-10.218721,-72.37475,SITTING
570,-9.396934,-71.530754,SITTING
571,-7.9064894,-70.13483,SITTING
572,-7.822731,-70.261566,SITTING
573,-7.4064326,-69.88849,SITTING
574,-9.974067,-72.51704,SITTING
575,-16.691065,-57.221474,SITTING
576,-19.347048,-47.11847,SITTING
577,-23.417423,-26.956728,SITTING
578,-64.048355,34.3086,LAYING
579,-63.217827,34.622383,LAYING
580,-63.165028,34.11385,LAYING
581,-73.24228,9.514462,LAYING
582,-72.852394,13.101467,LAYING
583,-72.7938,13.583687,LAYING
584,-71.4008,18.201954,LAYING
585,-73.46542,8.695336,LAYING
586,-72.811874,13.595511,LAYING
587,-73.86154,8.023299,LAYING
588,-72.93101,12.476391,LAYING
589,-72.97788,12.516552,LAYING
590,-73.09149,11.341041,LAYING
591,-73.16185,10.988448,LAYING
592,-72.6821,13.766359,LAYING
593,-72.690865,12.5640955,LAYING
594,-71.02389,31.844374,LAYING
595,-73.24309,13.695167,LAYING
596,-73.03348,10.6674385,LAYING
597,-73.15353,9.509334,LAYING
598,-72.95161,11.737184,LAYING
599,-73.607544,8.039565,LAYING
600,-73.653824,7.9579744,LAYING
601,-73.248825,8.952279,LAYING
602,-73.12299,9.603557,LAYING
603,-73.52734,8.193847,LAYING
604,-73.43987,8.358091,LAYING
605,-73.42346,8.43721,LAYING
606,-73.86335,7.7264347,LAYING
607,-72.99021,10.768003,LAYING
608,-72.94363,11.985992,LAYING
609,-73.13988,9.640484,LAYING
610,38.487118,-1.5615224,WALKING
611,7.412142,-3.0925837,WALKING
612,35.727962,-1.7763442,WALKING
613,34.76422,-2.6675415,WALKING
614,38.759964,-2.5852318,WALKING
615,36.224712,-2.1063526,WALKING
616,35.444763,-3.2083395,WALKING
617,35.540016,-7.296812,WALKING
618,36.242546,-4.2995214,WALKING
619,36.119026,-2.9587495,WALKING
620,36.328922,-2.6069407,WALKING
621,38.891624,-3.5252206,WALKING
622,39.91192,-3.2855306,WALKING
623,40.43796,-3.2645395,WALKING
624,39.73589,0.44091067,WALKING
625,35.4537,-2.8212767,WALKING
626,37.357494,-3.4448357,WALKING
627,37.236954,-3.64188,WALKING
628,38.167004,-4.0921206,WALKING
629,38.659008,-3.4820728,WALKING
630,39.444412,-2.9065754,WALKING
631,41.872284,-5.303112,WALKING
632,41.499153,-5.7240963,WALKING
633,39.080776,-2.5689769,WALKING
634,41.33213,-0.2110372,WALKING
635,41.80259,-0.7109975,WALKING
636,43.912388,-1.888781,WALKING
637,29.634033,23.641695,WALKING_DOWNSTAIRS
638,29.433485,23.01783,WALKING_DOWNSTAIRS
639,4.1469374,30.018284,WALKING_DOWNSTAIRS
640,4.1027007,29.968405,WALKING_DOWNSTAIRS
641,13.119949,32.133896,WALKING_DOWNSTAIRS
642,13.205036,33.269375,WALKING_DOWNSTAIRS
643,8.729423,24.446617,WALKING_DOWNSTAIRS
644,29.586386,23.778242,WALKING_DOWNSTAIRS
645,30.532978,24.42092,WALKING_DOWNSTAIRS
646,40.010815,3.9317222,WALKING_DOWNSTAIRS
647,29.662252,21.93697,WALKING_DOWNSTAIRS
648,29.477034,21.910313,WALKING_DOWNSTAIRS
649,9.083715,24.710785,WALKING_DOWNSTAIRS
650,13.150347,33.370617,WALKING_DOWNSTAIRS
651,13.131324,32.710278,WALKING_DOWNSTAIRS
652,8.669068,24.40429,WALKING_DOWNSTAIRS
653,8.4034605,30.560661,WALKING_DOWNSTAIRS
654,8.2676735,30.306059,WALKING_DOWNSTAIRS
655,7.542389,29.951057,WALKING_DOWNSTAIRS
656,7.7632794,29.806345,WALKING_DOWNSTAIRS
657,7.867389,29.78662,WALKING_DOWNSTAIRS
658,8.315602,28.595718,WALKING_DOWNSTAIRS
659,15.072693,53.29057,WALKING_DOWNSTAIRS
660,7.5966125,30.86365,WALKING_DOWNSTAIRS
661,4.1440554,27.128387,WALKING_DOWNSTAIRS
662,-4.8481565,35.859314,WALKING_DOWNSTAIRS
663,70.81669,15.537674,WALKING_UPSTAIRS
664,72.23033,14.042009,WALKING_UPSTAIRS
